# Rating Table (RGB565)
# Test Code | Min Value | Max Value.
A10101 0 0
A10102 0 0
A20101 0 0
A20201 0 0
A20301 0 0
A30101 0 0
A30201 0 0
A30301 0 0
A40101 0 0
A40102 0 0
B10101 0 3
B10102 0 3
B10103 0 3
B10104 0 3
B10105 3 256
B10106 0 0
B10108 0 0
B10109 0 0
C10101 0 0
C10201 0 0
C10202 0 0
C10203 0 0
C10301 0 0
C10401 0 0
C10402 0 0
C10403 0 0
C10501 0 0
C10601 0 0
C10701 0 0
C10801 0 0
C10802 0 11
C20101 0 0
D10101 0 0
D10201 0 0
D10301 0 0
E10101 0 0
E10102 0 0
E10103 0 0
E10104 0 9
E10201 0 0
E10301 0 0
E10302 0 7
F10101 0 0
F10201 0 0
F10202 0 11
F10203 0 11
F10204 0 11
F20101 0 0
F20103 0 0
F20104 0 13
F20105 0 6
F20106 0 8
F20107 0 2
G10101 0 1
G10102 0 1
G10103 0 1
G10201 0 5
G10202 0 4
G10203 0 2
G10204 0 5
G10205 0 5
G10206 0 2
G10301 0 4
G10302 0 4
G10303 0 1
G10304 0 5
G20101 0 1
G20102 0 0
G20201 0 1
G20301 0 1
G20302 0 1
G20303 0 1
G20304 0 1
G20401 0 1
G20402 0 1
G20501 0 1
G20502 0 1
G20503 0 7
G20601 0 5
G20602 0 5
G20603 0 5
G20604 0 5
G20605 0 2
G20606 0 2
G20607 0 5
G20608 0 2
G20609 0 2
G20610 0 1
G20701 0 0
G20702 0 0
G20703 0 0
G20704 0 0
G20801 0 0
G20802 0 0
G20803 0 0
G20804 0 0
G20901 0 0
G20902 0 0
G20903 0 0
G20904 0 0
G21001 0 0
G21002 0 0
G21003 0 0
G21004 0 0
G30101 0 1
G30102 0 0
G30103 0 3
G30104 0 3
G30106 0 2
G30107 0 3
G30108 0 4
G30110 0 3
G30111 0 3
G30112 0 3
G30114 0 3
G30115 0 3
G30116 0 3
G30117 0 3
G30118 0 7
G30119 0 3
G30120 0 3
G30122 0 3
G30123 0 3
G30124 0 3
G30125 0 8
G30126 0 7
G30127 0 7
G30128 0 7
G30201 0 7
G30203 0 7
G30204 0 3
G30205 0 4
G30206 0 3
G30207 0 3
G30208 0 3
G30209 0 7
G30210 0 3
G30211 0 3
G30212 0 7
G30213 0 9
G30214 0 7
G30215 0 7
G30216 0 6
G30217 0 7
G30218 0 3
G30219 0 4
G30220 0 4
G30221 0 7
G30222 0 6
G30223 0 5
G30224 0 5
G30225 0 9
G30226 0 3
G30228 0 6
G30229 0 7
G30230 0 3
G30231 0 3
G30232 0 3
G30233 0 3
G30234 0 7
G30235 0 3
G30236 0 13
G30237 0 7
G30238 0 7
G30239 0 4
G30240 0 10
G30241 0 8
G30242 0 9
G30243 0 10
G30244 0 7
G30245 0 7
G30246 0 9
G30247 0 3
G30248 0 7
G30249 0 7
G30250 0 7
G30251 0 7
G30252 0 15
G30253 0 7
G30254 0 8
G30255 0 8
G30256 0 9
G30257 0 7
G30258 0 8
G30259 0 6
G30260 0 7
G30261 0 3
G30262 0 9
G30263 0 9
G30264 0 9
G30265 0 9
G30266 0 9
G30267 0 9
G30268 0 9
G30269 0 9
G30270 0 9
G30271 0 9
G30272 0 9
G30273 0 9
G30274 0 9
G30275 0 9
G30276 0 3
G30277 0 3
G30278 0 4
G30279 0 5
